Fecha,ID_Producto,Producto,ID_Cliente,Cliente,Cantidad,Precio_Unitario,Region,Canal,Factura_ID
2023-01-09,P005,Medias Técnicas,C007,Fitness Pro,17,25.0,Buenos Aires,Mayorista,F104970
2023-09-27,P001,Zapatillas Running,C008,TodoDeporte,18,120.5,Córdoba,Tienda,F772418
2024-12-20,P001,Zapatillas Running,C007,Fitness Pro,2,120.5,Chaco,Tienda,F506787
2025-02-01,P005,Medias Técnicas,C003,Outlet Sur,12,25.0,Mendoza,Mayorista,F137595
2025-11-11,P008,Botines Futbol,C002,Indumentaria Norte,8,250.0,Santa Fe,Mayorista,F507442
2023-10-22,P010,Guantes Invierno,C008,TodoDeporte,1,70.0,Neuquén,Online,F719561
2025-06-20,P005,Medias Técnicas,C005,MegaSports,8,25.0,Neuquén,Mayorista,F877241
2024-06-28,P009,Mochila Gym,C008,TodoDeporte,4,180.0,Buenos Aires,Mayorista,F564817
2024-10-23,P006,Gorra Visera,C006,UrbanFit,4,35.0,Neuquén,Mayorista,F429926
2024-06-20,P008,Botines Futbol,C006,UrbanFit,18,250.0,Neuquén,Online,F854856
2023-09-04,P002,Remera Deportiva,C001,Deportes SA,6,45.0,Tucumán,Mayorista,F901252
2025-10-28,P009,Mochila Gym,C002,Indumentaria Norte,19,180.0,Tucumán,Mayorista,F363818
2025-04-10,P010,Guantes Invierno,C005,MegaSports,10,70.0,Santa Fe,Online,F910762
2023-05-08,P010,Guantes Invierno,C007,Fitness Pro,1,70.0,Chaco,Tienda,F324268
2025-02-18,P002,Remera Deportiva,C004,Tiendas Centro,8,45.0,Entre Ríos,Tienda,F609745
2023-04-24,P002,Remera Deportiva,C002,Indumentaria Norte,7,45.0,Mendoza,Tienda,F757696
2024-06-01,P005,Medias Técnicas,C002,Indumentaria Norte,9,25.0,Santa Fe,Online,F807612
2024-02-02,P007,Buzo Deportivo,C010,Running World,12,150.0,Santa Fe,Online,F331758
2023-02-08,P008,Botines Futbol,C001,Deportes SA,5,250.0,Córdoba,Online,F430877
2025-06-10,P003,Short Entrenamiento,C002,Indumentaria Norte,5,60.0,Santa Fe,Tienda,F217959
2025-11-21,P008,Botines Futbol,C007,Fitness Pro,4,250.0,Salta,Mayorista,F547446
2025-08-22,P009,Mochila Gym,C010,Running World,2,180.0,Entre Ríos,Mayorista,F884467
2024-07-16,P005,Medias Técnicas,C008,TodoDeporte,20,25.0,Entre Ríos,Online,F232581
2025-06-08,P010,Guantes Invierno,C010,Running World,20,70.0,Salta,Mayorista,F432166
2025-03-27,P006,Gorra Visera,C005,MegaSports,18,35.0,Buenos Aires,Tienda,F675004
2024-05-31,P002,Remera Deportiva,C008,TodoDeporte,1,45.0,Entre Ríos,Tienda,F387243
2024-07-31,P005,Medias Técnicas,C001,Deportes SA,7,25.0,Mendoza,Tienda,F244550
2024-09-30,P006,Gorra Visera,C001,Deportes SA,15,35.0,Santa Fe,Tienda,F794573
2025-08-08,P009,Mochila Gym,C003,Outlet Sur,4,180.0,Tucumán,Online,F568110
2023-09-14,P005,Medias Técnicas,C004,Tiendas Centro,15,25.0,Entre Ríos,Tienda,F172778
2024-01-19,P007,Buzo Deportivo,C010,Running World,5,150.0,Neuquén,Mayorista,F538144
2023-11-12,P007,Buzo Deportivo,C009,ZonaActiva,19,150.0,Entre Ríos,Mayorista,F435704
2023-11-03,P003,Short Entrenamiento,C002,Indumentaria Norte,4,60.0,Buenos Aires,Tienda,F640239
2025-09-03,P004,Campera Rompeviento,C006,UrbanFit,1,210.0,Buenos Aires,Online,F879854
2025-07-24,P005,Medias Técnicas,C008,TodoDeporte,20,25.0,Córdoba,Mayorista,F494277
2023-04-05,P010,Guantes Invierno,C006,UrbanFit,16,70.0,Chaco,Online,F956252
2024-04-05,P004,Campera Rompeviento,C005,MegaSports,7,210.0,Entre Ríos,Online,F932806
2024-02-26,P006,Gorra Visera,C003,Outlet Sur,16,35.0,Corrientes,Mayorista,F728600
2023-08-20,P003,Short Entrenamiento,C010,Running World,12,60.0,Chaco,Mayorista,F161387
2024-06-28,P002,Remera Deportiva,C008,TodoDeporte,15,45.0,Chaco,Mayorista,F180403
2023-04-14,P001,Zapatillas Running,C006,UrbanFit,10,120.5,Córdoba,Online,F557070
2025-02-19,P005,Medias Técnicas,C007,Fitness Pro,6,25.0,Corrientes,Online,F561385
2024-03-31,P007,Buzo Deportivo,C006,UrbanFit,5,150.0,Mendoza,Tienda,F959555
2024-06-20,P005,Medias Técnicas,C010,Running World,10,25.0,Salta,Mayorista,F208673
2023-03-09,P001,Zapatillas Running,C001,Deportes SA,8,120.5,Tucumán,Mayorista,F640979
2025-12-19,P004,Campera Rompeviento,C004,Tiendas Centro,4,210.0,Santa Fe,Tienda,F704920
2025-03-14,P002,Remera Deportiva,C008,TodoDeporte,12,45.0,Córdoba,Mayorista,F774586
2023-07-24,P005,Medias Técnicas,C010,Running World,16,25.0,Córdoba,Mayorista,F319076
2024-05-24,P010,Guantes Invierno,C003,Outlet Sur,16,70.0,Entre Ríos,Online,F569130
2025-06-29,P001,Zapatillas Running,C002,Indumentaria Norte,20,120.5,Tucumán,Mayorista,F123815
2025-03-17,P007,Buzo Deportivo,C010,Running World,6,150.0,Corrientes,Online,F398872
