Fecha,ID_Producto,Producto,Categoria,ID_Cliente,Cliente,Cantidad,Precio_Unitario,Region,Canal,Factura_ID
2023-01-09 00:00:00,P005,Medias Tecnicas,Indumentaria,C007,Fitness Pro,17,25.0,Buenos Aires,Mayorista,F104970
2023-09-27 00:00:00,P001,Zapatillas Running,Calzado,C008,TodoDeporte,18,120.5,Cordoba,Tienda,F772418
2024-12-20 00:00:00,P001,Zapatillas Running,Calzado,C007,Fitness Pro,2,120.5,Chaco,Tienda,F506787
2025-02-01 00:00:00,P005,Medias Tecnicas,Indumentaria,C003,Outlet Sur,12,25.0,Mendoza,Mayorista,F137595
2025-11-11 00:00:00,P008,Botines Futbol,Calzado,C002,Indumentaria Norte,8,250.0,Santa Fe,Mayorista,F507442
2023-10-22 00:00:00,P010,Guantes Invierno,Accesorios,C008,TodoDeporte,1,70.0,Neuquen,Online,F719561
2025-06-20 00:00:00,P005,Medias Tecnicas,Indumentaria,C005,MegaSports,8,25.0,Neuquen,Mayorista,F877241
2024-06-28 00:00:00,P009,Mochila Gym,Accesorios,C008,TodoDeporte,4,180.0,Buenos Aires,Mayorista,F564817
2024-10-23 00:00:00,P006,Gorra Visera,Accesorios,C006,UrbanFit,4,35.0,Neuquen,Mayorista,F429926
2024-06-20 00:00:00,P008,Botines Futbol,Calzado,C006,UrbanFit,18,250.0,Neuquen,Online,F854856
2023-09-04 00:00:00,P002,Remera Deportiva,Indumentaria,C001,Deportes SA,6,45.0,Tucuman,Mayorista,F901252
2025-10-28 00:00:00,P009,Mochila Gym,Accesorios,C002,Indumentaria Norte,19,180.0,Tucuman,Mayorista,F363818
2025-04-10 00:00:00,P010,Guantes Invierno,Accesorios,C005,MegaSports,10,70.0,Santa Fe,Online,F910762
2023-05-08 00:00:00,P010,Guantes Invierno,Accesorios,C007,Fitness Pro,1,70.0,Chaco,Tienda,F324268
2025-02-18 00:00:00,P002,Remera Deportiva,Indumentaria,C004,Tiendas Centro,8,45.0,Entre Rios,Tienda,F609745
2023-04-24 00:00:00,P002,Remera Deportiva,Indumentaria,C002,Indumentaria Norte,7,45.0,Mendoza,Tienda,F757696
2024-06-01 00:00:00,P005,Medias Tecnicas,Indumentaria,C002,Indumentaria Norte,9,25.0,Santa Fe,Online,F807612
2024-02-02 00:00:00,P007,Buzo Deportivo,Indumentaria,C010,Running World,12,150.0,Santa Fe,Online,F331758
2023-02-08 00:00:00,P008,Botines Futbol,Calzado,C001,Deportes SA,5,250.0,Cordoba,Online,F430877
2025-06-10 00:00:00,P003,Short Entrenamiento,Indumentaria,C002,Indumentaria Norte,5,60.0,Santa Fe,Tienda,F217959
2025-11-21 00:00:00,P008,Botines Futbol,Calzado,C007,Fitness Pro,4,250.0,Salta,Mayorista,F547446
2025-08-22 00:00:00,P009,Mochila Gym,Accesorios,C010,Running World,2,180.0,Entre Rios,Mayorista,F884467
2024-07-16 00:00:00,P005,Medias Tecnicas,Indumentaria,C008,TodoDeporte,20,25.0,Entre Rios,Online,F232581
2025-06-08 00:00:00,P010,Guantes Invierno,Accesorios,C010,Running World,20,70.0,Salta,Mayorista,F432166
2025-03-27 00:00:00,P006,Gorra Visera,Accesorios,C005,MegaSports,18,35.0,Buenos Aires,Tienda,F675004
2024-05-31 00:00:00,P002,Remera Deportiva,Indumentaria,C008,TodoDeporte,1,45.0,Entre Rios,Tienda,F387243
2024-07-31 00:00:00,P005,Medias Tecnicas,Indumentaria,C001,Deportes SA,7,25.0,Mendoza,Tienda,F244550
2024-09-30 00:00:00,P006,Gorra Visera,Accesorios,C001,Deportes SA,15,35.0,Santa Fe,Tienda,F794573
2025-08-08 00:00:00,P009,Mochila Gym,Accesorios,C003,Outlet Sur,4,180.0,Tucuman,Online,F568110
2023-09-14 00:00:00,P005,Medias Tecnicas,Indumentaria,C004,Tiendas Centro,15,25.0,Entre Rios,Tienda,F172778
2024-01-19 00:00:00,P007,Buzo Deportivo,Indumentaria,C010,Running World,5,150.0,Neuquen,Mayorista,F538144
2023-11-12 00:00:00,P007,Buzo Deportivo,Indumentaria,C009,ZonaActiva,19,150.0,Entre Rios,Mayorista,F435704
2023-11-03 00:00:00,P003,Short Entrenamiento,Indumentaria,C002,Indumentaria Norte,4,60.0,Buenos Aires,Tienda,F640239
2025-09-03 00:00:00,P004,Campera Rompeviento,Indumentaria,C006,UrbanFit,1,210.0,Buenos Aires,Online,F879854
2025-07-24 00:00:00,P005,Medias Tecnicas,Indumentaria,C008,TodoDeporte,20,25.0,Cordoba,Mayorista,F494277
2023-04-05 00:00:00,P010,Guantes Invierno,Accesorios,C006,UrbanFit,16,70.0,Chaco,Online,F956252
2024-04-05 00:00:00,P004,Campera Rompeviento,Indumentaria,C005,MegaSports,7,210.0,Entre Rios,Online,F932806
2024-02-26 00:00:00,P006,Gorra Visera,Accesorios,C003,Outlet Sur,16,35.0,Corrientes,Mayorista,F728600
2023-08-20 00:00:00,P003,Short Entrenamiento,Indumentaria,C010,Running World,12,60.0,Chaco,Mayorista,F161387
2024-06-28 00:00:00,P002,Remera Deportiva,Indumentaria,C008,TodoDeporte,15,45.0,Chaco,Mayorista,F180403
